               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.023566,            0.013644,           0.0027249,             0.96563,               0.965,             0.94791,             0.63827,           0.0090834,           0.0031483,          0.00015191,           0.0072438,           0.0072438,           0.0072438
                  58,            0.026424,            0.013585,           0.0019611,              0.9498,              0.9575,             0.94497,             0.53694,            0.012222,           0.0033413,           0.0002183,           0.0071566,           0.0071566,           0.0071566
                  59,            0.023719,            0.013861,           0.0055822,             0.96424,              0.9575,             0.96455,             0.59186,            0.011065,           0.0034678,          0.00030911,           0.0070686,           0.0070686,           0.0070686
                  60,            0.021972,            0.013205,           0.0022578,             0.60148,                0.87,             0.88793,             0.39683,            0.015526,           0.0045842,           0.0040376,           0.0069799,           0.0069799,           0.0069799
                  61,            0.023455,            0.014124,           0.0035469,             0.96316,             0.97498,             0.96523,             0.58231,            0.012565,           0.0030071,          0.00011256,           0.0068906,           0.0068906,           0.0068906
                  62,             0.02313,             0.01261,           0.0013513,             0.96456,             0.97503,              0.9709,             0.58349,            0.011204,           0.0031616,          0.00029223,           0.0068006,           0.0068006,           0.0068006
                  63,            0.022881,            0.013704,           0.0022052,             0.97467,             0.96628,             0.97785,             0.61841,            0.010091,           0.0030054,          0.00025463,           0.0067101,           0.0067101,           0.0067101
                  64,            0.021248,            0.013363,           0.0013583,             0.94818,             0.92869,             0.91454,             0.56603,             0.01109,           0.0029971,          0.00022453,           0.0066191,           0.0066191,           0.0066191
                  65,            0.021812,            0.012701,           0.0019106,             0.95707,             0.95183,             0.93966,             0.60987,           0.0095698,           0.0032026,          0.00013322,           0.0065276,           0.0065276,           0.0065276
                  66,            0.021182,             0.01348,           0.0010629,             0.95542,             0.95974,             0.94234,               0.626,            0.009318,           0.0031916,          0.00010882,           0.0064356,           0.0064356,           0.0064356
                  67,            0.024364,             0.01338,           0.0010336,             0.97513,                0.98,             0.96605,             0.64857,           0.0087686,           0.0028929,          0.00014956,           0.0063432,           0.0063432,           0.0063432
                  68,            0.020285,            0.012371,           0.0022328,             0.98022,               0.985,              0.9702,             0.66548,           0.0090652,           0.0027729,          0.00012592,           0.0062505,           0.0062505,           0.0062505
                  69,            0.023097,            0.013285,           0.0021492,             0.92708,             0.92255,             0.90121,              0.4738,             0.01473,           0.0032434,          0.00023844,           0.0061574,           0.0061574,           0.0061574
                  70,            0.020493,            0.013875,           0.0029289,             0.97218,             0.97098,             0.96855,             0.58339,            0.010922,            0.003084,          0.00018557,            0.006064,            0.006064,            0.006064
                  71,            0.022584,            0.013586,           0.0018084,             0.81382,             0.83472,             0.78467,                0.47,            0.013878,           0.0030842,          0.00077831,           0.0059704,           0.0059704,           0.0059704
                  72,            0.021866,            0.013098,           0.0013745,             0.75898,             0.80918,             0.81803,             0.38992,            0.015619,           0.0037133,           0.0023149,           0.0058766,           0.0058766,           0.0058766
                  73,            0.019266,              0.0136,           0.0038509,             0.95335,               0.955,             0.95963,              0.5332,            0.012669,            0.003124,          0.00068489,           0.0057826,           0.0057826,           0.0057826
                  74,            0.019963,            0.013269,           0.0014759,             0.97981,              0.9767,             0.97209,             0.62799,           0.0092343,           0.0029357,          0.00018442,           0.0056884,           0.0056884,           0.0056884
                  75,            0.020104,            0.012933,           0.0013273,              0.9743,             0.97249,             0.96089,             0.59909,            0.010347,           0.0029624,          0.00012262,           0.0055942,           0.0055942,           0.0055942
                  76,            0.020775,            0.013587,           0.0023059,             0.97557,                0.98,             0.96774,             0.60395,           0.0098528,           0.0029406,          0.00013304,              0.0055,              0.0055,              0.0055
                  77,            0.023844,            0.012974,           0.0026905,             0.97433,             0.97241,             0.96572,               0.587,            0.012057,           0.0029548,          0.00020967,           0.0054058,           0.0054058,           0.0054058
                  78,            0.025776,             0.01337,           0.0052198,             0.95911,             0.94948,             0.95833,             0.51327,            0.012117,           0.0037158,          0.00050391,           0.0053116,           0.0053116,           0.0053116
                  79,            0.019926,            0.013803,           0.0023253,             0.96311,               0.965,             0.96439,             0.59865,            0.011036,           0.0031681,          0.00011445,           0.0052174,           0.0052174,           0.0052174
                  80,            0.022774,            0.013847,           0.0038519,             0.89929,             0.95093,             0.95406,             0.47673,            0.013139,           0.0039934,           0.0005547,           0.0051234,           0.0051234,           0.0051234
                  81,            0.019073,            0.013251,           0.0023844,             0.92773,             0.93505,              0.9214,             0.48935,            0.013079,           0.0035275,          0.00063342,           0.0050296,           0.0050296,           0.0050296
                  82,            0.022217,            0.013427,           0.0029339,             0.85483,             0.89257,             0.88882,             0.29825,            0.016389,           0.0047606,           0.0010387,            0.004936,            0.004936,            0.004936
                  83,            0.021678,            0.013416,           0.0024038,             0.63264,             0.78916,             0.77889,              0.2472,            0.018213,           0.0048916,           0.0034364,           0.0048426,           0.0048426,           0.0048426
                  84,            0.022244,            0.013054,           0.0028601,             0.96702,               0.985,             0.97625,             0.61865,            0.011157,           0.0030499,          0.00028141,           0.0047495,           0.0047495,           0.0047495
                  85,            0.022862,            0.013398,            0.001591,             0.94906,              0.9684,             0.96985,             0.60714,            0.010968,           0.0029894,          0.00063868,           0.0046568,           0.0046568,           0.0046568
                  86,            0.018445,            0.012669,           0.0020043,             0.94416,                0.96,             0.96841,             0.58205,             0.01189,           0.0030669,          0.00074982,           0.0045644,           0.0045644,           0.0045644
                  87,            0.020377,            0.013483,           0.0018761,             0.98949,                0.99,              0.9788,             0.66138,            0.009608,           0.0028908,          9.1417e-05,           0.0044724,           0.0044724,           0.0044724
                  88,            0.017295,             0.01292,           0.0013403,             0.98838,                0.99,             0.97994,             0.67165,           0.0090877,           0.0029161,          6.1994e-05,           0.0043809,           0.0043809,           0.0043809
                  89,            0.020052,            0.013155,           0.0017304,             0.98333,             0.98499,             0.97778,             0.66094,           0.0096711,           0.0027763,           6.064e-05,           0.0042899,           0.0042899,           0.0042899
                  90,            0.018205,            0.012117,          0.00076935,              0.9815,              0.9825,              0.9704,              0.6518,           0.0099103,           0.0029175,           5.945e-05,           0.0041994,           0.0041994,           0.0041994
                  91,             0.01901,            0.012265,            0.001119,             0.98019,              0.9825,              0.9686,              0.6775,            0.008912,           0.0027178,          4.6046e-05,           0.0041094,           0.0041094,           0.0041094
                  92,            0.021208,            0.012549,           0.0011722,             0.97599,              0.9825,             0.96416,             0.61748,            0.011129,           0.0030294,           5.275e-05,           0.0040201,           0.0040201,           0.0040201
                  93,            0.020768,            0.012295,            0.001715,              0.9875,             0.98881,             0.97951,             0.66166,           0.0092968,           0.0028494,          5.1212e-05,           0.0039314,           0.0039314,           0.0039314
                  94,            0.016423,            0.012456,           0.0010131,             0.98282,                0.99,             0.97923,             0.67679,            0.008612,           0.0026203,          4.8056e-05,           0.0038434,           0.0038434,           0.0038434
                  95,            0.020678,            0.012484,           0.0019789,             0.98881,             0.98998,             0.98375,             0.64975,           0.0094826,            0.002832,          6.1496e-05,           0.0037562,           0.0037562,           0.0037562
                  96,             0.01823,            0.012086,           0.0011005,             0.98856,              0.9875,             0.98257,             0.65732,           0.0094957,           0.0026753,          5.2885e-05,           0.0036697,           0.0036697,           0.0036697
                  97,             0.01867,            0.011848,          0.00092955,             0.98677,                0.99,              0.9824,             0.67616,           0.0091068,           0.0026497,          3.8299e-05,            0.003584,            0.003584,            0.003584
                  98,            0.016879,            0.012002,          0.00074025,             0.98336,             0.98749,             0.97747,             0.67722,           0.0092321,           0.0026395,          3.4282e-05,           0.0034991,           0.0034991,           0.0034991
                  99,            0.017297,            0.012433,          0.00083074,             0.98891,             0.98997,             0.98589,             0.67213,           0.0084366,           0.0027215,          3.7408e-05,           0.0034152,           0.0034152,           0.0034152
                 100,            0.017792,             0.01217,           0.0013731,             0.99145,               0.995,             0.98913,             0.67351,            0.008761,           0.0030174,          4.0925e-05,           0.0033321,           0.0033321,           0.0033321
                 101,            0.019068,            0.012032,           0.0016102,              0.9859,             0.98748,             0.98188,             0.68529,           0.0083739,           0.0027029,          4.2453e-05,             0.00325,             0.00325,             0.00325
                 102,            0.018429,            0.012792,          0.00095882,             0.98041,             0.98249,             0.96969,             0.68451,           0.0081809,           0.0025755,          3.9314e-05,           0.0031689,           0.0031689,           0.0031689
                 103,            0.017608,            0.011801,           0.0012696,             0.99065,              0.9925,             0.98602,             0.70025,           0.0082097,           0.0025477,          3.4179e-05,           0.0030888,           0.0030888,           0.0030888
                 104,            0.017185,            0.012442,          0.00077139,             0.98631,             0.98998,             0.98228,             0.69129,           0.0081412,           0.0025519,          3.2579e-05,           0.0030097,           0.0030097,           0.0030097
                 105,            0.017845,            0.011766,            0.001397,             0.99026,             0.99248,             0.98636,             0.68908,           0.0085142,           0.0026205,          3.2512e-05,           0.0029318,           0.0029318,           0.0029318
                 106,            0.017809,            0.012342,           0.0007662,             0.98826,             0.98998,             0.98247,             0.70128,           0.0082891,            0.002652,          2.7104e-05,            0.002855,            0.002855,            0.002855
                 107,            0.018046,            0.011954,          0.00099046,             0.99597,             0.99749,             0.99378,             0.72173,           0.0080425,           0.0024933,          2.4963e-05,           0.0027793,           0.0027793,           0.0027793
                 108,            0.017331,            0.012118,          0.00085662,              0.9931,             0.99748,             0.99147,             0.70418,            0.008192,           0.0026202,          2.4705e-05,           0.0027048,           0.0027048,           0.0027048
                 109,            0.018174,            0.013031,          0.00082052,             0.99355,               0.995,             0.99174,             0.71328,           0.0078912,           0.0026184,          2.3718e-05,           0.0026316,           0.0026316,           0.0026316
                 110,            0.017676,            0.012152,           0.0019676,             0.98839,             0.99247,             0.98391,             0.67885,           0.0088494,           0.0027817,          2.7603e-05,           0.0025596,           0.0025596,           0.0025596
                 111,            0.019946,            0.011937,           0.0015608,             0.99253,             0.99498,             0.98519,             0.68619,           0.0081452,           0.0027255,          2.3968e-05,           0.0024889,           0.0024889,           0.0024889
                 112,             0.01647,            0.012332,          0.00063373,             0.99091,               0.995,             0.98693,             0.70914,           0.0080307,           0.0025254,          2.1044e-05,           0.0024195,           0.0024195,           0.0024195
                 113,            0.018669,            0.012151,          0.00099977,             0.99032,               0.995,             0.98675,             0.71233,           0.0078115,           0.0024633,          2.1559e-05,           0.0023515,           0.0023515,           0.0023515
                 114,            0.017854,            0.011576,           0.0011351,             0.98793,                0.99,             0.97947,             0.70141,           0.0082778,            0.002507,          2.1488e-05,           0.0022849,           0.0022849,           0.0022849
                 115,            0.019361,              0.0125,           0.0014231,             0.99037,              0.9925,             0.98605,             0.68397,           0.0086772,           0.0025998,          2.3424e-05,           0.0022196,           0.0022196,           0.0022196
                 116,            0.018214,            0.011808,          0.00093268,             0.98815,                0.99,             0.98299,             0.71271,           0.0076333,           0.0025143,           2.277e-05,           0.0021558,           0.0021558,           0.0021558
                 117,            0.017937,            0.012408,           0.0012365,             0.99353,               0.995,             0.98809,             0.70942,           0.0078295,           0.0025865,          2.3052e-05,           0.0020935,           0.0020935,           0.0020935
                 118,            0.017827,            0.012117,          0.00094542,              0.9933,             0.99749,             0.99309,             0.70941,           0.0081025,            0.002665,           2.022e-05,           0.0020327,           0.0020327,           0.0020327
                 119,              0.0169,            0.012454,           0.0014498,             0.99055,             0.99499,             0.98741,             0.71533,           0.0080241,            0.002532,          1.8823e-05,           0.0019734,           0.0019734,           0.0019734
                 120,            0.016374,            0.012048,          0.00071816,             0.99324,              0.9975,             0.99329,             0.72185,           0.0078433,           0.0024326,          1.7949e-05,           0.0019156,           0.0019156,           0.0019156
                 121,            0.018518,            0.011778,           0.0011253,             0.99373,               0.995,             0.98778,             0.72061,           0.0079466,           0.0025016,          1.8338e-05,           0.0018594,           0.0018594,           0.0018594
                 122,            0.016888,            0.011699,          0.00063907,             0.99119,              0.9925,             0.98628,             0.71864,           0.0076966,           0.0025097,          1.9534e-05,           0.0018048,           0.0018048,           0.0018048
                 123,            0.016085,            0.011929,          0.00069931,             0.98617,              0.9875,             0.97721,             0.71376,           0.0079894,           0.0025171,          2.1045e-05,           0.0017519,           0.0017519,           0.0017519
                 124,            0.017074,            0.011824,          0.00072477,             0.99354,             0.99499,              0.9879,             0.71844,           0.0078419,           0.0024372,          1.9581e-05,           0.0017005,           0.0017005,           0.0017005
                 125,            0.017724,            0.011984,           0.0019077,             0.99331,              0.9975,             0.99369,             0.72703,           0.0073879,           0.0024772,          1.9403e-05,           0.0016509,           0.0016509,           0.0016509
                 126,            0.017371,            0.011946,           0.0012623,             0.99318,             0.99749,             0.99368,             0.71551,            0.007528,           0.0025352,          2.0413e-05,           0.0016029,           0.0016029,           0.0016029
                 127,            0.015188,            0.012113,          0.00056814,             0.99089,               0.995,             0.98717,             0.71472,           0.0076308,           0.0025514,          1.9041e-05,           0.0015566,           0.0015566,           0.0015566
                 128,            0.017224,            0.011834,          0.00053463,             0.99066,              0.9925,             0.98499,             0.71681,           0.0078434,           0.0025366,          1.9088e-05,           0.0015121,           0.0015121,           0.0015121
                 129,            0.015895,            0.011533,           0.0004414,             0.99098,              0.9925,             0.98445,              0.7117,           0.0079408,           0.0024245,          1.7667e-05,           0.0014693,           0.0014693,           0.0014693
                 130,            0.014799,            0.011531,          0.00031885,             0.99113,              0.9925,             0.98442,              0.7218,           0.0077775,           0.0024123,          1.7501e-05,           0.0014283,           0.0014283,           0.0014283
                 131,             0.01946,            0.012221,           0.0013872,             0.99222,             0.99249,             0.98454,             0.71876,           0.0078729,           0.0024501,          1.7391e-05,            0.001389,            0.001389,            0.001389
                 132,            0.014683,            0.011004,           0.0005522,             0.99221,             0.99249,              0.9849,             0.71959,           0.0078794,           0.0025038,          1.7883e-05,           0.0013516,           0.0013516,           0.0013516
                 133,            0.015588,             0.01249,          0.00057003,             0.99423,               0.995,             0.98945,             0.73326,           0.0075405,           0.0024784,          1.6276e-05,            0.001316,            0.001316,            0.001316
                 134,            0.015963,            0.011341,          0.00050581,             0.99618,              0.9975,              0.9938,             0.73666,           0.0074932,           0.0024657,          1.6569e-05,           0.0012822,           0.0012822,           0.0012822
                 135,            0.014646,            0.011553,          0.00052862,             0.99612,              0.9975,             0.99378,             0.73277,           0.0074996,           0.0024941,          1.7736e-05,           0.0012503,           0.0012503,           0.0012503
                 136,            0.016673,            0.011805,          0.00096804,             0.99635,              0.9975,              0.9936,             0.73385,           0.0073914,           0.0025025,          1.6047e-05,           0.0012202,           0.0012202,           0.0012202
                 137,            0.016396,            0.011202,          0.00051976,             0.99363,              0.9975,             0.99329,             0.73135,           0.0075367,           0.0025393,          1.4908e-05,           0.0011921,           0.0011921,           0.0011921
                 138,            0.016751,            0.011738,           0.0014189,             0.98906,              0.9925,             0.98609,                0.73,           0.0077647,           0.0024617,          1.6565e-05,           0.0011658,           0.0011658,           0.0011658
                 139,            0.016298,            0.012096,          0.00050437,              0.9914,             0.99249,             0.98664,             0.72976,           0.0078469,           0.0024546,          1.6349e-05,           0.0011414,           0.0011414,           0.0011414
                 140,            0.016116,             0.01143,          0.00080036,             0.99128,              0.9925,             0.98647,             0.73671,           0.0076278,           0.0023974,          1.5218e-05,           0.0011189,           0.0011189,           0.0011189
                 141,            0.015356,            0.011646,          0.00045853,              0.9937,               0.995,             0.98874,             0.73929,           0.0074503,           0.0024047,          1.4003e-05,           0.0010983,           0.0010983,           0.0010983
                 142,            0.016747,            0.011756,          0.00083407,             0.99387,               0.995,             0.98832,             0.73667,           0.0075578,           0.0024317,          1.2857e-05,           0.0010797,           0.0010797,           0.0010797
                 143,            0.014904,            0.011749,           0.0007931,              0.9914,              0.9925,             0.98575,             0.73473,           0.0074814,           0.0024584,          1.2481e-05,            0.001063,            0.001063,            0.001063
                 144,            0.018388,              0.0115,           0.0011974,             0.99116,              0.9925,             0.98591,             0.73307,           0.0074763,           0.0024513,          1.2124e-05,           0.0010483,           0.0010483,           0.0010483
                 145,             0.01689,            0.011919,            0.002131,             0.99129,              0.9925,             0.98584,             0.73187,           0.0075889,           0.0023985,          1.1741e-05,           0.0010355,           0.0010355,           0.0010355
                 146,             0.01751,            0.012223,           0.0010256,             0.99174,              0.9925,             0.98594,             0.72996,           0.0077097,           0.0023885,          1.2043e-05,           0.0010247,           0.0010247,           0.0010247
                 147,            0.016024,            0.011757,           0.0009713,             0.99134,              0.9925,             0.98628,             0.73041,           0.0076544,           0.0024313,          1.2255e-05,           0.0010158,           0.0010158,           0.0010158
                 148,            0.017313,            0.011155,          0.00084835,             0.99398,             0.99498,             0.98903,             0.73516,           0.0076873,           0.0024866,          1.3653e-05,           0.0010089,           0.0010089,           0.0010089
                 149,            0.016813,            0.011565,          0.00054205,             0.99151,             0.99249,             0.98686,             0.73177,           0.0077458,            0.002539,          1.3297e-05,           0.0010039,           0.0010039,           0.0010039
